id,line,route_id,vehicle_type,bearing,delay,longitude,latitude,last_update
3314,30,4021,1,135,0,16.522755,49.213882,2025-03-09T07:51:29.705Z
30353,R8,1106,5,135,11,17.450249,49.443008,2025-03-09T07:51:29.705Z
21332,572,208,4,225,1,16.997593,48.766254,2025-03-09T07:51:29.705Z
30025,S6,4110,5,0,3,17.114248,49.132988,2025-03-09T07:51:29.705Z
21122,904,11,4,0,1,17.135191,48.8573,2025-03-09T07:51:29.705Z
1829,5,4015,0,270,2,16.596029,49.19165,2025-03-09T07:51:29.705Z
3311,30,4019,1,180,0,16.536938,49.221664,2025-03-09T07:51:29.705Z
21583,104,201,4,135,3,16.380463,48.751827,2025-03-09T07:51:29.705Z
30460,S52,14508,5,315,0,16.79995,48.88472,2025-03-09T07:51:29.705Z
21196,663,428,4,225,1,17.103371,48.920788,2025-03-09T07:51:29.705Z
1722,8,4029,0,270,0,16.575228,49.169914,2025-03-09T07:51:29.705Z
21139,74,309,4,270,0,16.616447,49.186127,2025-03-09T07:51:29.705Z
3330,37,4019,1,0,0,16.529989,49.191521,2025-03-09T07:51:29.705Z
21462,301,452,4,135,5,16.593945,49.231823,2025-03-09T07:51:29.705Z
30146,R9,975,5,90,1,16.090111,49.370605,2025-03-09T07:51:29.704Z
21481,312,208,4,225,1,16.388,49.278713,2025-03-09T07:51:29.704Z
3679,31,4017,1,0,1,16.668131,49.183399,2025-03-09T07:51:29.704Z
3320,37,4021,1,225,0,16.566902,49.178123,2025-03-09T07:51:29.704Z
1082,1,4028,0,180,0,16.568115,49.203102,2025-03-09T07:51:29.704Z
1845,7,4003,0,225,0,16.606657,49.188477,2025-03-09T07:51:29.704Z
2663,55,4009,2,135,2,16.658829,49.19099,2025-03-09T07:51:29.704Z
21855,562,109,4,135,1,16.849751,48.757938,2025-03-09T07:51:29.704Z
22037,667,267,4,45,1,17.166304,49.036396,2025-03-09T07:51:29.704Z
7091,70,4082,2,0,0,16.582226,49.248306,2025-03-09T07:51:29.704Z
30121,S6,1764,5,135,0,17.456856,49.067223,2025-03-09T07:51:29.704Z
3676,27,4305,1,0,0,16.642033,49.202492,2025-03-09T07:51:29.701Z
1902,9,4020,0,0,0,16.617073,49.213078,2025-03-09T07:51:29.701Z
1736,8,4024,0,45,0,16.663803,49.190315,2025-03-09T07:51:29.701Z
1224,3,4022,0,135,0,16.597153,49.203224,2025-03-09T07:51:29.701Z
30049,S21,14744,5,-1,1,16.611706,49.478794,2025-03-09T07:51:29.701Z
3303,39,4011,1,135,1,16.601603,49.199894,2025-03-09T07:51:29.701Z
21786,804,313,4,-1,0,16.087616,48.838932,2025-03-09T07:51:29.701Z
1853,1,4032,0,135,0,16.508057,49.218311,2025-03-09T07:51:29.701Z
3635,27,4301,1,90,0,16.671843,49.201992,2025-03-09T07:51:29.702Z
21060,504,307,4,180,0,16.603676,49.126949,2025-03-09T07:51:29.702Z
1569,6,4022,0,45,0,16.593653,49.175228,2025-03-09T07:51:29.702Z
30131,S82,2206,5,0,0,16.059471,48.853004,2025-03-09T07:51:29.703Z
2637,44,4021,2,270,1,16.625708,49.222549,2025-03-09T07:51:29.703Z
3680,25,4015,1,90,1,16.626106,49.214859,2025-03-09T07:51:29.703Z
21733,258,222,4,0,0,16.602188,49.453682,2025-03-09T07:51:29.703Z
7099,64,4020,2,180,0,16.654631,49.1264,2025-03-09T07:51:29.703Z
21368,610,208,4,315,1,16.811941,49.087597,2025-03-09T07:51:29.703Z
21918,201,282,4,135,0,16.743704,49.2971,2025-03-09T07:51:29.703Z
21612,750,303,4,135,0,16.958265,49.300999,2025-03-09T07:51:29.703Z
1127,1,4039,0,180,0,16.604786,49.206917,2025-03-09T07:51:29.703Z
1937,12,3027,0,135,1,16.585278,49.221516,2025-03-09T07:51:29.703Z
21215,165,203,4,225,0,16.72817,48.945538,2025-03-09T07:51:29.703Z
21553,302,204,4,315,0,16.529091,49.241886,2025-03-09T07:51:29.703Z
1913,7,4002,0,45,1,16.602482,49.184605,2025-03-09T07:51:29.703Z
21527,48,304,4,315,3,16.633274,49.163506,2025-03-09T07:51:29.704Z
7827,E76,4009,2,45,0,16.614731,49.194035,2025-03-09T07:51:29.704Z
1835,1,4031,0,0,0,16.5368,49.221695,2025-03-09T07:51:29.703Z
1711,8,4033,0,315,0,16.655151,49.188297,2025-03-09T07:51:29.704Z
7535,69,4007,2,135,1,16.582382,49.175072,2025-03-09T07:51:29.704Z
7077,40,4016,2,315,0,16.641724,49.159157,2025-03-09T07:51:29.704Z
21317,807,303,4,135,0,16.046431,48.860611,2025-03-09T07:51:29.704Z
1128,1,4034,0,180,0,16.508121,49.218269,2025-03-09T07:51:29.704Z
7058,x4,4022,2,0,1,16.595247,49.193832,2025-03-09T07:51:29.704Z
7677,47,4002,2,225,0,16.61377,49.189281,2025-03-09T07:51:29.704Z
3685,25,4902,1,180,0,16.56031,49.215908,2025-03-09T07:51:29.704Z
21130,612,106,4,0,0,16.723017,49.083107,2025-03-09T07:51:29.704Z
21659,256,271,4,180,0,16.61371,49.487877,2025-03-09T07:51:29.704Z
30351,R8,1104,5,225,1,16.630985,49.188805,2025-03-09T07:51:29.704Z
21012,104,203,4,225,1,16.540041,48.990253,2025-03-09T07:51:29.704Z
31014,S3,4964,5,90,8,16.208403,49.324932,2025-03-09T07:51:29.704Z
1938,2,4028,0,0,0,16.6038,49.131371,2025-03-09T07:51:29.704Z
3619,25,4018,1,180,0,16.592741,49.202465,2025-03-09T07:51:29.704Z
31028,S3,4640,5,45,0,16.613333,49.190742,2025-03-09T07:51:29.704Z
21014,935,207,4,90,0,17.488886,48.85984,2025-03-09T07:51:29.705Z
3682,25,4016,1,135,2,16.567268,49.174088,2025-03-09T07:51:29.705Z
1934,9,4026,0,315,0,16.654354,49.196613,2025-03-09T07:51:29.705Z
2662,50,4016,2,0,0,16.530119,49.192886,2025-03-09T07:51:29.705Z
1825,1,4030,0,90,1,16.526661,49.229198,2025-03-09T07:51:29.705Z
7051,52,4010,2,90,1,16.569221,49.194012,2025-03-09T07:51:29.705Z
7728,72,4004,2,0,1,16.576147,49.227806,2025-03-09T07:51:29.705Z
21774,201,207,4,0,1,16.743408,49.298237,2025-03-09T07:51:29.705Z
2678,78,4031,2,270,0,16.640381,49.201149,2025-03-09T07:51:29.705Z
30050,R19,863,5,180,0,16.66634,49.261051,2025-03-09T07:51:29.705Z
2670,49,4010,2,225,0,16.622242,49.176247,2025-03-09T07:51:29.705Z
3623,26,4010,1,270,1,16.57023,49.193993,2025-03-09T07:51:29.705Z
21420,819,203,4,-1,0,16.05682,48.851852,2025-03-09T07:51:29.705Z
1943,9,4023,0,90,1,16.632763,49.190388,2025-03-09T07:51:29.705Z
30013,S2,4010,5,0,0,16.639788,49.321148,2025-03-09T07:51:29.705Z
30076,S4,4809,5,135,1,16.449541,49.158562,2025-03-09T07:51:29.705Z
22017,xS3,4964,4,225,2,16.107433,49.387581,2025-03-09T07:51:29.706Z
21029,233,251,4,135,1,16.671715,49.361042,2025-03-09T07:51:29.705Z
21957,235,203,4,90,1,16.54565,49.407074,2025-03-09T07:51:29.704Z
21275,250,332,4,225,0,16.652876,49.491383,2025-03-09T07:51:29.704Z
22043,512,305,4,315,0,16.504467,49.072895,2025-03-09T07:51:29.704Z
1815,2,4022,0,90,0,16.636703,49.201279,2025-03-09T07:51:29.706Z
1940,2,4032,0,90,0,16.604477,49.126602,2025-03-09T07:51:29.706Z
3333,37,4017,1,90,2,16.569336,49.194019,2025-03-09T07:51:29.706Z
21073,602,232,4,225,0,17.001568,49.147995,2025-03-09T07:51:29.706Z
1917,9,4024,0,180,1,16.633951,49.191147,2025-03-09T07:51:29.706Z
21820,655,302,4,45,3,16.969734,48.97303,2025-03-09T07:51:29.706Z
21668,602,356,4,225,0,16.764618,49.184063,2025-03-09T07:51:29.706Z
3618,36,4016,1,315,0,16.55905,49.217674,2025-03-09T07:51:29.704Z
21476,822,237,4,90,0,16.30397,48.873676,2025-03-09T07:51:29.706Z
21263,401,205,4,270,1,16.445553,49.190006,2025-03-09T07:51:29.706Z
3325,30,4017,1,45,0,16.594654,49.224277,2025-03-09T07:51:29.706Z
21970,569,104,4,180,0,16.883984,48.754578,2025-03-09T07:51:29.706Z
